ID,SpecificDialect,Glottocode,Type,Macroarea,Dates,DatesSource,InventoryType,TimeDepth,TimeDepthYBP,BibtexKey,Source,Comments
1054,NA,sume1241,Attested,Eurasia,NA,NA,all,NA,NA,bomhard1990,BDPROTO,NA
1067,NA,taik1256,Reconstructed,Eurasia,NA,NA,all,NA,3000,li1977,BDPROTO,NA
1064,NA,taca1255,Reconstructed,South America,NA,NA,all,NA,NA,girard1971,BDPROTO,NA
1009,NA,poto1254,Reconstructed,Africa,NA,NA,vowels only,NA,NA,stewart1983,BDPROTO,NA
1079,NA,toto1251,Reconstructed,North America,NA,NA,all,NA,7000,longacre1967,BDPROTO,NA
1117,NA,tuca1253,Reconstructed,South America,NA,NA,all,NA,NA,matteson1972,BDPROTO,NA
1119,NA,tupi1276,Reconstructed,South America,NA,NA,all,NA,4500,jensen1998,BDPROTO,NA
1084,NA,ural1272,Reconstructed,Eurasia,NA,NA,all,mesolithic age,8000,sammallahti1988,BDPROTO,NA
1114,NA,NA,Reconstructed,Eurasia,NA,NA,all,between 8000 and 6000 BC,10000,fortescue1998,BDPROTO,NA
1069,NA,utoa1244,Reconstructed,North America,NA,NA,all,up to 5000 years,7000,langaker1970,BDPROTO,NA
1032,NA,west2582,Reconstructed,Papunesia,NA,NA,all,NA,NA,clouse1996,BDPROTO,NA
1008,NA,yoku1255,Reconstructed,North America,NA,NA,all,jones2007california,3000,golla1964,BDPROTO,NA
1076,NA,zapo1436,Reconstructed,North America,NA,NA,all,evans2013archaeology,2400,longacre1967,BDPROTO,"Looks like this is Zapotec, but may be Zapotecan (i.e., includes Chatino)"
1078,NA,zoqu1261,Reconstructed,North America,NA,NA,all,NA,1500,longacre1967,BDPROTO,NA
3,NA,balt1263,Reconstructed,Eurasia,NA,NA,all,between 1500 and 1000 B.C. (novotna2011glottochronology),3000,kortlandt1979_phon,UZ,NA
4,NA,slav1255,Reconstructed,Eurasia,NA,NA,all,around 500 AD split of daughter languages (andersen2003language),1500,schenker1993proto,UZ,NA
5,NA,celt1248,Reconstructed,Eurasia,NA,NA,all,NA,3000,schrijver1995studies,UZ,NA
6,NA,daic1237,Reconstructed,Eurasia,NA,NA,all,between one and three thousand years ago (enfield2013linguistic),1000,pittayaporn2009proto,UZ,NA
7,NA,turk1311,Reconstructed,Eurasia,NA,NA,all,NA,2200,ronatas1998reconstruction,UZ,NA
8,NA,mong1329,Reconstructed,Eurasia,NA,NA,all,less than 1000 years (brown2010concise),1000,jahunen2003,UZ,NA
9,NA,kada1291,Reconstructed,Eurasia,NA,NA,all,NA,NA,ostapirat2000proto-kra,UZ,NA
10,NA,hlai1239,Reconstructed,Eurasia,NA,NA,all,NA,NA,norquest2007phonological,UZ,NA
11,NA,NA,Reconstructed,Eurasia,NA,NA,all,NA,6000,matisoff2003handbook,UZ,NA
12,NA,aust1305,Reconstructed,Eurasia,NA,NA,all,2000 BCE (sidwell-family),4000,shorto2006mon,UZ,NA
13,NA,iroq1247,Reconstructed,North America,NA,NA,all,"3,500 to 3,800 for the split of South and North Iroquoian (lounsbury1961iroquois)",5500,Julian2010,UZ,NA
15,NA,indo1319,Reconstructed,Eurasia,NA,NA,all,NA,NA,Fortson2011-indo-european,UZ,NA
2000,NA,akka1240,Attested,Eurasia,2350-0 BCE,Hasselbach-Andee2019,all,2800-700 BC,2700,"buccellatti1997phon,huehnergard1997phon",ANE,NA
2001,NA,hitt1242,Attested,Eurasia,3600-3300,NA,all,1600-1300 BC,3300,hoffner-melchert2008phon,ANE,NA
2002,NA,anci1245,Attested,Eurasia,Problematic,AlJallad2018,all,1200 bc-700 AD,2700,"goldammer2012phon_arabic,MacDonald2008phon",ANE,Not a language
2003,NA,aram1259,Attested,Eurasia,3100-1800,NA,all,NA,NA,goldammer2012phon_arc,ANE,"Aramaic is akin to ""Romance"" in its diversity"
2004,NA,elam1244,Attested,Eurasia,4600-2300,NA,all,2800-500 BC,2500,"goldammer2012phon_elx,Khaikjan1998phon",ANE,NA
2005,Gathaic Avestan/Old Avestan,aves1237,Attested,Eurasia,4000-3000,NA,all,"uncertain, written from the 3rd century, but the language was extinct by then. Maybe with the start of the Zoroastrism around 600bc or same time as early Vedic around 1500 BCE",NA,skaervo2006phon,ANE,The data refers to Old Avestan
2006,Gathaic Avestan/Old Avestan,clas1249,Attested,Eurasia,1500-100,NA,all,400 AD,1600,clackson2008phon,ANE,"First documented around beginning of 5th century CE, used as literary language till the 19th century"
2007,Gathaic Avestan/Old Avestan,egyp1246,Attested,Africa,4-3.5K,NA,all,2000-1350 BC,3350,allen2000phon,ANE,NA
2008,Gathaic Avestan/Old Avestan,hatt1246,Attested,Eurasia,4000-3000,NA,all,3000-2000 BC,4000,"kammenhuber1969phon,klinger2005phon",ANE,"No connected texts, phonology dubious"
2009,Gathaic Avestan/Old Avestan,hurr1240,Attested,Eurasia,4300-3000,NA,all,2300-1000 BC,3000,"wegner2000phon,wilhelm2008phon_xhu",ANE,NA
2010,Gathaic Avestan/Old Avestan,kass1244,Attested,Eurasia,3800-2400,NA,all,1800-400 BC,2400,goldammer2012phon_kass1244,ANE,NA
2011,Gathaic Avestan/Old Avestan,pala1331,Attested,Eurasia,4-3.5K,NA,all,1600-1300 BC,3300,"melchert2008phon,carruba1970phon",ANE,NA
2012,Gathaic Avestan/Old Avestan,oldp1255,Attested,Eurasia,3-2.5K,NA,all,600-300 BC,2300,skjaervo2009phon,ANE,NA
2013,Paleo-Phrygian,phry1239,Attested,Eurasia,3-2.5K,NA,all,800 BC-300 AD; texts found from 800-500 (Paleo-Phrygian) BC and 100 AD - 300 (Neo-Phrygian),1700,brixhe2008phon,ANE,NA
2014,Neo-Phrygian,phry1239,Attested,Eurasia,3-2.5K,NA,all,NA,NA,brixhe2008phon,ANE,NA
2015,Neo-Phrygian,sayh1236,Attested,Eurasia,3000-1500,Multhoff2019,all,NA,NA,nebesstein2008phon,ANE,Not a language
2016,Neo-Phrygian,sume1241,Attested,Eurasia,NA,NA,all,3300-2000 BC,4000,"edzard2003phon,michalowski2008phon",ANE,NA
2017,Neo-Phrygian,ugar1238,Attested,Eurasia,NA,NA,all,NA,NA,tropper2000phon,ANE,NA
2018,Neo-Phrygian,urar1245,Attested,Eurasia,NA,NA,all,NA,NA,"wilhelm2008phon_xur,hazenbos2005phon",ANE,NA
2019,Cunieform Luwian,cune1239,Attested,Eurasia,4-3.5K,NA,all,1400-1200,3200,melchert2008phon_xlu,ANE,NA
2020,Cunieform Luwian,phoe1239,Attested,Eurasia,3-2.5K,NA,all,1200-600 BC,2600,hackett2008phon,ANE,NA
16,NA,alor1249,Reconstructed,Papunesia,NA,NA,consonants only,3000,3000,klamer2017alorpantar,HUJI,NA
17,NA,lamm1241,Reconstructed,Papunesia,NA,NA,consonants only,NA,NA,holtonrobinson2017westpantar,HUJI,NA
18,NA,timo1261,Reconstructed,Papunesia,NA,NA,consonants only,NA,NA,"schapperetal2017timoralorpantar,holtonrobinson2017timoralorpantar",HUJI,NA
19,NA,nort2923,Reconstructed,Papunesia,NA,NA,consonants only,NA,NA,holtonrobinson2017timoralorpantar,HUJI,"check wada1980, holtonrobinson2014 in klamer2014"
20,NA,nucl1709,Reconstructed,Papunesia,NA,NA,consonants only,NA,NA,holtonrobinson2017timoralorpantar,HUJI,"After Pawley 1995, 2001 -- check"
21,NA,algo1256,Reconstructed,North America,NA,NA,all,NA,NA,Goddard1974,HUJI,NA
22,NA,cadd1255,Reconstructed,North America,NA,NA,all,NA,NA,chafe1979caddoan,HUJI,NA
23,NA,east2520,Reconstructed,Papunesia,NA,NA,all,NA,NA,Mandala_etal2011,HUJI,"More recent and quite different East Timor in: Schapper, Antoinette, Juliette Huber & Aone van Engelenhoven. 2012. The historical relation of the Papuan languages of Timor and Kisar. In Harald Hammarström & Wilco van den Heuvel (eds.), History, contact and classification ofPapuan languages (Language and Linguistics in Melanesia Special Issue 2012, Part I), 194–242. Port Moresby: Linguistic Society of Papua New Guinea."
24,NA,fata1246,Reconstructed,Papunesia,NA,NA,all,NA,NA,Mandala_etal2011,HUJI,NA
25,NA,quec1387,Reconstructed,South America,NA,NA,all,NA,NA,cerron2003quechuan,HUJI,NA
26,NA,ayma1253,Reconstructed,South America,NA,NA,consonants only,NA,NA,cerron2000aymaran,HUJI,NA
27,NA,barb1265,Reconstructed,South America,NA,NA,all,NA,NA,curnowliddicoat1998barbacoan,HUJI,NA
