ID,Name,Description
9C6117430968F42700ACD02E4E7442F7,t̠ʃʰ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL H
C6880E4D32532681166EBA4D7D3AA2E0,tsʰ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL H
F2C1BD21A3AFCCB8E2BE8CD8DFFE52E8,ɜː,LATIN SMALL LETTER REVERSED OPEN E - MODIFIER LETTER TRIANGULAR COLON
E12BC6D5BBF9272E866810A376DEEF52,ɛː,LATIN SMALL LETTER OPEN E - MODIFIER LETTER TRIANGULAR COLON
7D4AEC4169D5DB682621A0F86C706FC9,ɔː,LATIN SMALL LETTER OPEN O - MODIFIER LETTER TRIANGULAR COLON
1015E79EACD7013D4873572B6AB0510D,iɛ,LATIN SMALL LETTER I - LATIN SMALL LETTER OPEN E
C615E80D7BD204F79239594B45E22747,ia,LATIN SMALL LETTER I - LATIN SMALL LETTER A
24E11ABCF1AD3B0C6D805A63C3D713A4,ua,LATIN SMALL LETTER U - LATIN SMALL LETTER A
25FF4E805EBF505F22EA80BD30A69D90,əɛ,LATIN SMALL LETTER SCHWA - LATIN SMALL LETTER OPEN E
8DAF1BD9A592E0FBAFDB95AF33FEFA0E,uɔ,LATIN SMALL LETTER U - LATIN SMALL LETTER OPEN O
06088A99AD4B6E006A6CFE7499104796,e̥,LATIN SMALL LETTER E - COMBINING RING BELOW
4563A9B9ABA1D0DBF14EDE55D11BE085,ʃʼ,LATIN SMALL LETTER ESH - MODIFIER LETTER APOSTROPHE
77FB1967C8D16A666F18E8A4E9CB2CFD,cçʰ,LATIN SMALL LETTER C - LATIN SMALL LETTER C WITH CEDILLA - MODIFIER LETTER SMALL H
83843751C883EFE80D3DBD0A856D9BC2,ḁ,LATIN SMALL LETTER A - COMBINING RING BELOW
3123B22F0C399850B3B9CB3131425F95,i̥,LATIN SMALL LETTER I - COMBINING RING BELOW
F347AF0289EB49B194A5CC27242E1937,u̥,LATIN SMALL LETTER U - COMBINING RING BELOW
72CF7CDA3EAF210A59BCC9FD2574DBEC,ʂʼ,LATIN SMALL LETTER S WITH HOOK - MODIFIER LETTER APOSTROPHE
84288A5D605CF98D0898A9616D91BBCC,cçʼ,LATIN SMALL LETTER C - LATIN SMALL LETTER C WITH CEDILLA - MODIFIER LETTER APOSTROPHE
