ID,Language_ID,Parameter_ID,Value,Inventory_ID,PhonemeNotes,PhonemeNFD
157,araw1281,03413638BD1DFC7AEF53192FEF71F017,l,1116,NA,l
158,araw1281,1C7F2960BE4EDD840C01C94930F1D932,ʎ,1116,NA,ʎ
159,araw1281,5AE9663626770D1D4B97AAE5769AB83C,m,1116,NA,m
160,araw1281,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,1116,NA,n
161,araw1281,5AC0158A367D59E8C16A876321E578AB,o,1116,NA,o
162,araw1281,DF648A2DB863191981CA66654BFF6BF4,õ,1116,NA,õ
163,araw1281,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,1116,NA,p
164,araw1281,6E065D8A2F199BCBC7CA7074EC4DE834,pʰ,1116,NA,pʰ
165,araw1281,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,1116,NA,r
166,araw1281,7FF174469DAC4E61520F4E1610B2F088,s,1116,NA,s
167,araw1281,9F90F95459807624A486F03FE5A89978,t,1116,NA,t
168,araw1281,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,1116,NA,t̠ʃ
169,araw1281,4EEF82037BC182F6353941401E583F45,tʰ,1116,NA,tʰ
170,araw1281,106C7FE93D986D037407524D08F3599A,ts,1116,NA,ts
171,araw1281,58EB693AE523323410326D60806B9ADF,u,1116,NA,u
172,araw1281,1520751621DE93DB6E03975E1867106A,ũ,1116,NA,ũ
173,araw1281,501394D0E2658752D9DA624E7DEBE14B,w,1116,NA,w
174,atha1247,7D5E23AD8E7FC92894F94CEB664FBE7C,ɐ,1110,NA,ɐ
175,atha1247,0844E3AEAF1C8E3837465942B92FE4C5,ʔ,1110,NA,ʔ
176,atha1247,CEB8A516242B5E336874AC64E81D655E,ɘ,1110,NA,ɘ
177,atha1247,ED74AF5019F80FF5E1F4E598F0085639,ɢ,1110,NA,ɢ
178,atha1247,F4908317E8B8D67C64129D5DAF89C210,ɢʷ,1110,NA,ɢʷ
179,atha1247,9E7CDEEE9F0DE43C10181AE483F62CBD,ʃ,1110,NA,ʃ
180,atha1247,10FD223095BD60FD89BEC828E5FD0A26,ʊ,1110,NA,ʊ
181,atha1247,24934115EB451EB20C91AC9D2AD62537,χ,1110,NA,χ
182,atha1247,09669CA25538B9D8F88FA458EF40C634,χʷʼ,1110,NA,χʷʼ
183,atha1247,72FB536ACFF408163656BBCDAFCAC6F6,a,1110,NA,a
184,atha1247,E6253384902D489FDB1FE487B7ED4AB2,d,1110,NA,d
185,atha1247,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,1110,NA,d̠ʒ
186,atha1247,1E8296F0F7BF5A8ABE9B5E8E040E709F,dɮ,1110,NA,dɮ
187,atha1247,17B1CFA69C0C6AB5362FFDB585C0C7DC,dz,1110,NA,dz
188,atha1247,199408E3D0668F10F475143F0E8CC0CB,e,1110,NA,e
189,atha1247,4257BA86C575A28CFD1C21C69CDCFB5B,ɡʲ,1110,NA,ɡʲ
190,atha1247,E7FBD92350B3CA8B7B5D77E36A607068,h,1110,NA,h
191,atha1247,1F0C89A7E99CD5113AA994AD2CC86CBC,ɬ,1110,NA,ɬ
192,atha1247,F0585BB57111C322D6E7DABB0D01F9EA,i,1110,NA,i
193,atha1247,ADF56B8E4119266843033E723A149AE2,j,1110,NA,j
194,atha1247,B9C749831BC59B5585B5AE2159F32788,kʼ,1110,NA,kʼ
195,atha1247,96CDC886AA21A9599A0AC4EFFCDCA13F,kʲ,1110,NA,kʲ
196,atha1247,79CFDD4943BC9A9354E6A0E965288214,kʷʼ,1110,NA,kʷʼ
197,atha1247,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,1110,NA,n
198,atha1247,4AC7382217172B3821AE54CD38BD8698,q,1110,NA,q
199,atha1247,F004A6DF8DC34AB3759000D0EEA099AC,qʼ,1110,NA,qʼ
200,atha1247,0CE464BCDDF6D25FC3C1DF3C67CE1C91,qʷ,1110,NA,qʷ
201,atha1247,1230081C3710A6F95C105998800A8557,qʷʼ,1110,NA,qʷʼ
